epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
88,733.328,1.17584,1.05661,1.24838,0.47892,0.435,0.40482,0.20119,1.80561,1.84299,1.79795,0.000709809,0.000709809,0.000709809
89,741.393,1.13166,1.02881,1.23257,0.59045,0.42531,0.39458,0.19413,1.76471,1.8441,1.78669,0.000698806,0.000698806,0.000698806
90,749.715,1.14626,1.00746,1.24302,0.57906,0.38518,0.44857,0.21866,1.76282,1.70621,1.76074,0.000687804,0.000687804,0.000687804
91,757.114,1.14204,1.01826,1.24104,0.63678,0.35,0.41882,0.21501,1.76951,1.78974,1.76082,0.000676802,0.000676802,0.000676802
92,765.778,1.18999,1.08288,1.26896,0.57632,0.355,0.40004,0.21751,1.7247,1.82276,1.71598,0.0006658,0.0006658,0.0006658
93,775.271,1.10549,0.97359,1.20937,0.645,0.36,0.42748,0.22791,1.72013,1.72129,1.71697,0.000654798,0.000654798,0.000654798
94,783.337,1.10528,1.01126,1.23383,0.56449,0.415,0.43268,0.23035,1.70276,1.72311,1.68398,0.000643795,0.000643795,0.000643795
95,792.734,1.03994,0.95571,1.17442,0.6134,0.4284,0.43083,0.22324,1.73152,1.76212,1.73631,0.000632793,0.000632793,0.000632793
96,801.458,1.08182,0.98933,1.19014,0.54606,0.48719,0.45909,0.25412,1.69157,1.66607,1.69959,0.000621791,0.000621791,0.000621791
97,809.141,1.10802,0.95037,1.21357,0.57481,0.39882,0.43578,0.22592,1.74503,1.79739,1.78047,0.000610789,0.000610789,0.000610789
98,817.985,1.09134,0.92549,1.19299,0.44623,0.445,0.40335,0.20889,1.84313,1.89567,1.92965,0.000599787,0.000599787,0.000599787
99,826.732,1.08076,0.93073,1.19187,0.57124,0.38,0.42726,0.22001,1.76537,1.87161,1.79053,0.000588784,0.000588784,0.000588784
100,834.647,1.135,0.9691,1.23374,0.53561,0.4,0.42189,0.22286,1.78404,1.81683,1.75365,0.000577782,0.000577782,0.000577782
101,843.704,1.09277,0.94217,1.18326,0.62332,0.38,0.42607,0.22255,1.68647,1.79558,1.72296,0.00056678,0.00056678,0.00056678
102,850.995,1.09076,0.93619,1.19345,0.59056,0.43,0.44314,0.23892,1.70667,1.7205,1.75037,0.000555778,0.000555778,0.000555778
103,859.879,1.08544,0.92781,1.18294,0.64758,0.415,0.45648,0.24298,1.72387,1.71384,1.75158,0.000544776,0.000544776,0.000544776
104,868.837,1.03687,0.90058,1.17665,0.63875,0.415,0.45468,0.24568,1.73995,1.80133,1.7662,0.000533773,0.000533773,0.000533773
105,876.604,1.06241,0.89498,1.17596,0.53747,0.41,0.42475,0.22754,1.80245,1.85972,1.82355,0.000522771,0.000522771,0.000522771
106,886.104,1.08997,0.94455,1.21295,0.50539,0.41,0.41638,0.22669,1.78823,1.85874,1.77371,0.000511769,0.000511769,0.000511769
107,895.409,1.01839,0.85206,1.15445,0.50898,0.48,0.44894,0.24645,1.7243,1.72208,1.73795,0.000500767,0.000500767,0.000500767
108,903.457,1.01196,0.85877,1.15935,0.67256,0.41,0.44771,0.23961,1.71535,1.7074,1.75477,0.000489765,0.000489765,0.000489765
109,912.24,1.05782,0.89034,1.17992,0.62711,0.43726,0.44892,0.24229,1.70531,1.70377,1.72668,0.000478762,0.000478762,0.000478762
110,920.939,1.03643,0.85393,1.15676,0.57791,0.4,0.43109,0.2308,1.74467,1.90179,1.78149,0.00046776,0.00046776,0.00046776
111,928.412,1.02358,0.84046,1.15021,0.60127,0.42,0.42555,0.23386,1.76283,1.8984,1.77014,0.000456758,0.000456758,0.000456758
112,937.326,0.99231,0.82348,1.15041,0.55492,0.435,0.43799,0.23932,1.70611,1.77905,1.73354,0.000445756,0.000445756,0.000445756
113,944.919,1.00483,0.84463,1.17175,0.62472,0.395,0.42775,0.25182,1.69425,1.71967,1.72608,0.000434754,0.000434754,0.000434754
114,953.963,1.03821,0.83892,1.1682,0.59343,0.405,0.43684,0.2457,1.76046,1.71578,1.80522,0.000423751,0.000423751,0.000423751
115,962.331,0.99937,0.83078,1.13388,0.53073,0.435,0.41693,0.22787,1.74879,1.89397,1.80874,0.000412749,0.000412749,0.000412749
116,970.224,1.00161,0.86735,1.14952,0.54226,0.43,0.41566,0.22775,1.76037,1.91589,1.80551,0.000401747,0.000401747,0.000401747
117,978.865,0.99043,0.82943,1.14882,0.62131,0.395,0.4176,0.23007,1.72781,1.74963,1.73437,0.000390745,0.000390745,0.000390745
118,987.245,0.97891,0.82327,1.14058,0.59292,0.385,0.41268,0.22111,1.77681,1.87612,1.78913,0.000379743,0.000379743,0.000379743
119,995.515,0.98736,0.8267,1.13628,0.51338,0.47474,0.44717,0.24513,1.74997,1.73035,1.79156,0.00036874,0.00036874,0.00036874
120,1004.19,0.98012,0.81388,1.12907,0.54535,0.44,0.4553,0.2484,1.76717,1.764,1.80834,0.000357738,0.000357738,0.000357738
121,1012.37,0.90632,0.76294,1.0971,0.54449,0.455,0.45679,0.25553,1.72856,1.74916,1.77058,0.000346736,0.000346736,0.000346736
122,1020.87,1.01394,0.84679,1.15881,0.67764,0.39,0.4469,0.24361,1.74056,1.8069,1.75255,0.000335734,0.000335734,0.000335734
123,1029.95,0.94511,0.78292,1.12477,0.65562,0.39,0.43279,0.23138,1.74351,1.79085,1.77266,0.000324732,0.000324732,0.000324732
124,1038.08,0.95164,0.79285,1.12828,0.61648,0.41,0.4521,0.23233,1.77283,1.76529,1.80823,0.000313729,0.000313729,0.000313729
125,1046.73,0.95558,0.80084,1.13434,0.63383,0.375,0.44671,0.23577,1.75626,1.71063,1.79149,0.000302727,0.000302727,0.000302727
126,1055.25,0.94451,0.77407,1.11725,0.53871,0.41,0.43455,0.22772,1.76173,1.80428,1.76098,0.000291725,0.000291725,0.000291725
127,1063.4,0.93163,0.77856,1.10496,0.51064,0.435,0.42429,0.22223,1.77544,1.74948,1.7871,0.000280723,0.000280723,0.000280723
128,1072.62,0.91691,0.74864,1.10092,0.50925,0.42,0.42054,0.22607,1.75495,1.84011,1.78532,0.000269721,0.000269721,0.000269721
129,1081.8,0.92731,0.75891,1.10701,0.61504,0.36,0.41862,0.22556,1.76371,1.87106,1.82051,0.000258718,0.000258718,0.000258718
130,1089.33,0.94706,0.74083,1.11124,0.53103,0.405,0.40931,0.22845,1.80452,1.82307,1.87302,0.000247716,0.000247716,0.000247716
131,1098.57,0.94165,0.76334,1.11891,0.5349,0.43128,0.43277,0.23638,1.80544,1.79226,1.84013,0.000236714,0.000236714,0.000236714
132,1106.81,0.92246,0.75699,1.11068,0.57362,0.4,0.43552,0.23786,1.76675,1.79381,1.78079,0.000225712,0.000225712,0.000225712
133,1115.21,0.89591,0.75073,1.08922,0.53681,0.425,0.43769,0.24305,1.74577,1.80346,1.7775,0.00021471,0.00021471,0.00021471
134,1124.39,0.89533,0.73957,1.09261,0.59001,0.41735,0.44302,0.24096,1.72291,1.76811,1.77016,0.000203707,0.000203707,0.000203707
135,1132.14,0.88894,0.7116,1.08421,0.51881,0.445,0.43446,0.23273,1.75685,1.75355,1.79,0.000192705,0.000192705,0.000192705
136,1140.86,0.94205,0.74477,1.10782,0.54455,0.425,0.42756,0.2248,1.77052,1.77344,1.79733,0.000181703,0.000181703,0.000181703
