epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
78,1183.63,1.3268,1.40054,1.48195,0.5617,0.47417,0.47417,0.2384,1.71482,1.82126,1.85278,0.000872779,0.000872779,0.000872779
79,1198.98,1.31496,1.37586,1.48824,0.57285,0.46,0.471,0.23389,1.72643,1.87629,1.91395,0.000862464,0.000862464,0.000862464
80,1214.44,1.3141,1.31743,1.47684,0.56285,0.47639,0.46738,0.2418,1.65477,1.82148,1.82781,0.00085215,0.00085215,0.00085215
81,1229.12,1.31627,1.33596,1.4822,0.59928,0.45,0.43218,0.22248,1.73989,2.00078,1.98342,0.000841835,0.000841835,0.000841835
82,1243.76,1.27603,1.32115,1.47336,0.59064,0.415,0.45011,0.24017,1.69449,1.89597,1.87547,0.00083152,0.00083152,0.00083152
83,1258.38,1.26888,1.27982,1.42595,0.52733,0.43,0.44542,0.23162,1.69502,1.86051,1.90213,0.000821206,0.000821206,0.000821206
84,1273.27,1.30134,1.32221,1.47016,0.70685,0.355,0.43847,0.22331,1.7337,1.83086,1.88434,0.000810891,0.000810891,0.000810891
85,1287.93,1.29177,1.35754,1.46385,0.61093,0.425,0.43945,0.22231,1.72548,1.92302,1.89406,0.000800577,0.000800577,0.000800577
86,1302.46,1.27015,1.28564,1.45435,0.51143,0.475,0.45027,0.24329,1.57313,1.86868,1.80043,0.000790262,0.000790262,0.000790262
87,1317.26,1.21903,1.23069,1.39956,0.49775,0.425,0.43566,0.23194,1.62938,1.83558,1.82033,0.000779948,0.000779948,0.000779948
88,1331.79,1.28129,1.26409,1.44394,0.56756,0.385,0.41484,0.21573,1.74105,1.974,1.89924,0.000769633,0.000769633,0.000769633
89,1346.65,1.24216,1.24242,1.42528,0.54635,0.41,0.42302,0.20934,1.67457,1.98332,1.86373,0.000759318,0.000759318,0.000759318
90,1361.83,1.23597,1.25427,1.44618,0.59333,0.465,0.45082,0.22828,1.67525,1.83201,1.84211,0.000749004,0.000749004,0.000749004
91,1376.47,1.23504,1.25082,1.43017,0.55581,0.44,0.45342,0.22975,1.69997,1.87922,1.87722,0.000738689,0.000738689,0.000738689
92,1390.61,1.3309,1.37953,1.50759,0.5784,0.45959,0.47635,0.23145,1.70377,1.89225,1.89279,0.000728375,0.000728375,0.000728375
93,1405.18,1.22636,1.21504,1.41238,0.57971,0.415,0.43723,0.22451,1.71954,1.98332,1.86464,0.00071806,0.00071806,0.00071806
94,1419.94,1.23246,1.24999,1.43182,0.51129,0.42,0.4153,0.21613,1.67971,1.93796,1.88154,0.000707746,0.000707746,0.000707746
95,1434.37,1.16645,1.16857,1.37018,0.48887,0.50693,0.46137,0.2456,1.66354,1.84895,1.84139,0.000697431,0.000697431,0.000697431
96,1448.83,1.16911,1.14485,1.36928,0.4497,0.47,0.40472,0.21388,1.72336,2.06122,1.90516,0.000687117,0.000687117,0.000687117
97,1464.43,1.21697,1.16126,1.39878,0.52903,0.48,0.45692,0.24355,1.61397,1.75244,1.7918,0.000676802,0.000676802,0.000676802
98,1479.1,1.1784,1.13734,1.37815,0.57253,0.47,0.45413,0.23907,1.70591,1.95869,1.89468,0.000666487,0.000666487,0.000666487
99,1493.6,1.18268,1.14969,1.37891,0.51145,0.485,0.44831,0.23487,1.67014,1.80367,1.86309,0.000656173,0.000656173,0.000656173
100,1508.35,1.21911,1.18046,1.40329,0.53346,0.5,0.46992,0.25577,1.73224,1.73764,1.8619,0.000645858,0.000645858,0.000645858
101,1523.05,1.18733,1.1438,1.37472,0.57963,0.44,0.47231,0.24485,1.66618,1.68083,1.86481,0.000635544,0.000635544,0.000635544
102,1537.72,1.18387,1.18264,1.38305,0.52769,0.44,0.46884,0.24947,1.68016,1.7404,1.84629,0.000625229,0.000625229,0.000625229
103,1551.12,1.17877,1.10656,1.36306,0.60087,0.42906,0.47007,0.25547,1.67058,1.76396,1.85043,0.000614915,0.000614915,0.000614915
104,1566.21,1.16543,1.12648,1.38285,0.61337,0.45,0.47578,0.24603,1.71467,1.86468,1.93537,0.0006046,0.0006046,0.0006046
105,1581.7,1.17452,1.09595,1.36174,0.55435,0.46648,0.46442,0.245,1.71406,1.82535,1.94793,0.000594286,0.000594286,0.000594286
106,1596.25,1.21126,1.16692,1.41853,0.68231,0.45,0.51105,0.2633,1.69934,1.75723,1.87518,0.000583971,0.000583971,0.000583971
107,1611.56,1.12956,1.04961,1.32732,0.65584,0.47642,0.51935,0.28746,1.63623,1.62746,1.82285,0.000573656,0.000573656,0.000573656
108,1626.05,1.16268,1.06889,1.39523,0.56575,0.46,0.46649,0.24376,1.74609,1.97606,1.90803,0.000563342,0.000563342,0.000563342
109,1640.26,1.14971,1.07763,1.35571,0.71479,0.405,0.48036,0.26152,1.66422,1.77528,1.85616,0.000553027,0.000553027,0.000553027
110,1654.8,1.13476,1.05874,1.32957,0.64476,0.47191,0.492,0.26985,1.67304,1.76928,1.885,0.000542713,0.000542713,0.000542713
111,1669.44,1.15459,1.05341,1.35051,0.61634,0.47,0.49274,0.26306,1.67307,1.78217,1.8566,0.000532398,0.000532398,0.000532398
112,1684.26,1.07747,1.01427,1.30871,0.54522,0.47955,0.49539,0.26409,1.66096,1.75618,1.85043,0.000522084,0.000522084,0.000522084
113,1699.52,1.08878,1.0171,1.32699,0.55706,0.4,0.42796,0.22731,1.70351,1.91185,1.92541,0.000511769,0.000511769,0.000511769
114,1714.95,1.10381,1.02208,1.3071,0.56767,0.45956,0.47654,0.2615,1.64211,1.77896,1.80818,0.000501454,0.000501454,0.000501454
115,1729.32,1.09354,1.01434,1.30227,0.49201,0.46,0.44674,0.24785,1.63343,1.82326,1.8565,0.00049114,0.00049114,0.00049114
116,1744.34,1.10737,1.03055,1.34293,0.61845,0.4,0.4531,0.23607,1.7156,1.86492,1.9291,0.000480825,0.000480825,0.000480825
117,1758.89,1.11055,1.01361,1.34676,0.67594,0.43,0.48687,0.26715,1.62115,1.71173,1.84937,0.000470511,0.000470511,0.000470511
118,1773.33,1.0912,1.02125,1.3365,0.62791,0.51469,0.5243,0.26812,1.61129,1.72985,1.84582,0.000460196,0.000460196,0.000460196
119,1788.12,1.05396,0.9636,1.29465,0.67792,0.43,0.50014,0.26094,1.66508,1.84201,1.89953,0.000449882,0.000449882,0.000449882
120,1802.35,1.08352,0.97033,1.29967,0.59243,0.49,0.49952,0.26097,1.66327,1.84944,1.89505,0.000439567,0.000439567,0.000439567
121,1818.33,1.03079,0.92085,1.27231,0.54275,0.46,0.48182,0.25947,1.63656,1.81498,1.85001,0.000429253,0.000429253,0.000429253
122,1833.45,1.10383,1.05451,1.33236,0.62646,0.455,0.47685,0.25759,1.617,1.80348,1.89949,0.000418938,0.000418938,0.000418938
123,1848.97,1.03125,0.9655,1.28978,0.56655,0.47,0.47882,0.26799,1.63035,1.76583,1.89661,0.000408623,0.000408623,0.000408623
124,1863.69,1.05497,0.95894,1.31331,0.59873,0.47001,0.48753,0.25571,1.65096,1.73719,1.89011,0.000398309,0.000398309,0.000398309
125,1878.62,1.07038,0.998,1.31397,0.68294,0.42,0.49169,0.27073,1.61758,1.73213,1.88553,0.000387994,0.000387994,0.000387994
126,1893.62,1.04064,0.94246,1.27808,0.59549,0.44,0.50181,0.2767,1.63958,1.73792,1.88236,0.00037768,0.00037768,0.00037768
127,1908.29,1.03533,0.93125,1.26977,0.61208,0.425,0.49394,0.26769,1.63396,1.72487,1.87496,0.000367365,0.000367365,0.000367365
128,1922.32,1.02678,0.92225,1.26299,0.5824,0.44,0.48147,0.26424,1.6176,1.71007,1.8447,0.000357051,0.000357051,0.000357051
129,1938.47,1.02936,0.9494,1.27579,0.59146,0.47,0.47625,0.25518,1.71872,1.77376,1.92403,0.000346736,0.000346736,0.000346736
130,1952.79,1.03058,0.93191,1.27525,0.67803,0.43,0.50329,0.26226,1.6852,1.69838,1.91257,0.000336421,0.000336421,0.000336421
131,1968.37,1.01591,0.93145,1.27509,0.54926,0.465,0.48839,0.26431,1.71662,1.87216,1.96405,0.000326107,0.000326107,0.000326107
