epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
60,514.055,1.33324,1.35594,1.35275,0.46295,0.435,0.40589,0.22949,1.6356,1.83354,1.67191,0.000693305,0.000693305,0.000693305
61,522.372,1.31613,1.28308,1.33172,0.45377,0.465,0.43121,0.23451,1.7096,1.86222,1.78393,0.000676802,0.000676802,0.000676802
62,530.294,1.28708,1.29235,1.3523,0.52952,0.44458,0.45187,0.24481,1.63786,1.78424,1.67279,0.000660299,0.000660299,0.000660299
63,538.744,1.33071,1.30657,1.36883,0.51544,0.43613,0.45071,0.25287,1.61812,1.71554,1.65751,0.000643795,0.000643795,0.000643795
64,546.652,1.32094,1.27453,1.34881,0.49263,0.50003,0.44383,0.23579,1.62951,1.70368,1.65242,0.000627292,0.000627292,0.000627292
65,554.366,1.28748,1.29555,1.33926,0.58351,0.415,0.43862,0.2356,1.58624,1.77621,1.62835,0.000610789,0.000610789,0.000610789
66,562.887,1.25844,1.29226,1.33132,0.64019,0.425,0.45132,0.25494,1.61692,1.77382,1.64141,0.000594286,0.000594286,0.000594286
67,571.744,1.29995,1.26689,1.33391,0.60351,0.38816,0.44106,0.24836,1.57057,1.73206,1.59295,0.000577782,0.000577782,0.000577782
68,579.574,1.3311,1.32112,1.3554,0.57222,0.44812,0.44828,0.25494,1.55559,1.71724,1.55136,0.000561279,0.000561279,0.000561279
69,587.45,1.24652,1.20327,1.28591,0.55808,0.45,0.47056,0.26699,1.59817,1.72909,1.60991,0.000544776,0.000544776,0.000544776
70,595.19,1.27768,1.20809,1.32827,0.58629,0.44,0.47155,0.25575,1.6763,1.79598,1.66219,0.000528272,0.000528272,0.000528272
71,603.49,1.29943,1.22576,1.31319,0.55386,0.40967,0.42699,0.23397,1.67472,1.89769,1.64321,0.000511769,0.000511769,0.000511769
72,612.05,1.27575,1.22811,1.31176,0.5959,0.45715,0.46087,0.26489,1.56109,1.68071,1.59966,0.000495266,0.000495266,0.000495266
73,619.95,1.21695,1.15304,1.26247,0.54611,0.5,0.4563,0.2725,1.5359,1.68006,1.59008,0.000478762,0.000478762,0.000478762
74,628.162,1.24085,1.17412,1.30306,0.55856,0.48,0.46443,0.28096,1.54979,1.71877,1.59243,0.000462259,0.000462259,0.000462259
75,636.367,1.19886,1.13244,1.28186,0.6109,0.47,0.47577,0.26634,1.5676,1.70451,1.58254,0.000445756,0.000445756,0.000445756
76,644.241,1.21878,1.20185,1.28307,0.56114,0.47,0.47553,0.26802,1.61302,1.69533,1.62778,0.000429253,0.000429253,0.000429253
77,652.48,1.17694,1.12991,1.26539,0.59081,0.41,0.44201,0.25543,1.56827,1.74462,1.58172,0.000412749,0.000412749,0.000412749
78,660.692,1.23098,1.14721,1.28806,0.5886,0.45067,0.47401,0.27665,1.60082,1.77747,1.57999,0.000396246,0.000396246,0.000396246
79,668.613,1.16305,1.10161,1.2526,0.50591,0.485,0.46563,0.2654,1.63748,1.78561,1.63086,0.000379743,0.000379743,0.000379743
80,677.159,1.1612,1.08592,1.25737,0.57746,0.445,0.45504,0.26195,1.60145,1.76987,1.61378,0.000363239,0.000363239,0.000363239
81,684.939,1.14062,1.07392,1.22748,0.61955,0.44,0.46774,0.25262,1.60327,1.68216,1.62392,0.000346736,0.000346736,0.000346736
82,692.841,1.17702,1.0709,1.26407,0.57984,0.45,0.46024,0.24993,1.63744,1.82452,1.6595,0.000330233,0.000330233,0.000330233
83,701.096,1.18747,1.11674,1.26614,0.54229,0.45,0.46824,0.27171,1.6011,1.74477,1.65438,0.000313729,0.000313729,0.000313729
